iter	RMSE
0	4.275434525
1	4.257344842
2	4.242847177
3	4.230244861
4	4.217965986
5	4.20494417
6	4.194309497
7	4.185877156
8	4.175861658
9	4.167160719
10	4.160610381
11	4.15410861
12	4.146811742
13	4.141007053
14	4.134746634
15	4.128957208
16	4.12341863
17	4.118618045
18	4.114894239
19	4.111921889
20	4.107510572
21	4.103673385
22	4.09979034
23	4.096767195
24	4.093522731
25	4.090523444
26	4.08697786
27	4.084206746
28	4.082457249
29	4.080067482
30	4.077722869
31	4.0748577
32	4.072393805
33	4.070515825
34	4.067743938
35	4.06603292
36	4.063536527
37	4.061144488
38	4.058899226
39	4.056277362
40	4.054590524
41	4.05272977
42	4.050864426
43	4.049919596
44	4.048841335
45	4.046424026
46	4.04456808
47	4.043183088
48	4.041663833
49	4.040531576
50	4.038357403
51	4.036685162
52	4.034844126
53	4.033198718
54	4.031280283
55	4.029805069
56	4.028437159
57	4.027353494
58	4.02593189
59	4.024385413
60	4.023204022
61	4.021659268
62	4.019964163
63	4.01927676
64	4.017393472
65	4.015725437
66	4.01454103
67	4.013403642
68	4.01200348
69	4.010983179
70	4.008128857
71	4.007020608
72	4.005778842
73	4.004744227
74	4.003128814
75	4.001188873
76	4.000411894
77	3.998845692
78	3.997494753
79	3.996110537
80	3.994870551
81	3.993810819
82	3.992259293
83	3.990747684
84	3.990702712
85	3.989037568
86	3.986856779
87	3.986490173
88	3.984643157
89	3.9833508
90	3.982428249
91	3.981007101
92	3.980147041
93	3.979144705
94	3.978140234
95	3.977224611
96	3.975851917
97	3.97490248
98	3.973180933
99	3.972072297
100	3.971262797
101	3.970042403
102	3.969332759
103	3.968247604
104	3.967241469
105	3.966331945
106	3.964959601
107	3.963634746
108	3.962558969
109	3.960302395
110	3.959583106
111	3.957883062
112	3.956681213
113	3.955600059
114	3.954209025
115	3.952937297
116	3.952163838
117	3.950711201
118	3.949728074
119	3.948635051
120	3.947516687
121	3.946432672
122	3.945368857
123	3.943709227
124	3.94257624
125	3.940860654
126	3.939695417
127	3.938398754
128	3.936781538
129	3.935891711
130	3.935398189
131	3.934269414
132	3.933348568
133	3.932058377
134	3.931362339
135	3.930245246
136	3.929501167
137	3.928404582
138	3.927570331
139	3.926812494
140	3.925831329
141	3.924675545
142	3.923778962
143	3.922511471
144	3.92135669
145	3.920521349
146	3.918904063
147	3.91797258
148	3.915931688
149	3.915316189
150	3.914224439
151	3.913447938
152	3.912636119
153	3.911121517
154	3.909863107
155	3.908579102
156	3.907013538
157	3.905387571
158	3.904095008
159	3.902909075
160	3.902169281
161	3.900862897
162	3.899301648
163	3.897928752
164	3.897194328
165	3.896705749
166	3.89570112
167	3.894332092
168	3.893256021
169	3.891386043
170	3.890115353
171	3.889459594
172	3.888240395
173	3.887052713
174	3.886046956
175	3.88491376
176	3.884348329
177	3.883066436
178	3.881784539
179	3.880950245
180	3.879360705
181	3.877634759
182	3.875986892
183	3.874805922
184	3.873581316
185	3.871585831
186	3.87025564
187	3.869749821
188	3.868924067
189	3.867219152
190	3.86618775
191	3.864505447
192	3.864165453
193	3.863622313
194	3.862329226
195	3.861210151
196	3.859731941
197	3.858522025
198	3.857476178
199	3.856701894
200	3.854095723
201	3.8531713
202	3.85264873
203	3.851533499
204	3.850326787
205	3.849811006
206	3.848188976
207	3.846082772
208	3.845136838
209	3.843472723
210	3.841837688
211	3.840267073
212	3.838550382
213	3.836415497
214	3.835251633
215	3.833736976
216	3.832719606
217	3.830961486
218	3.830435751
219	3.829051483
220	3.828295627
221	3.827309545
222	3.826329389
223	3.824844228
224	3.823792669
225	3.821776759
226	3.821437896
227	3.820358306
228	3.818357334
229	3.816969321
230	3.816300875
231	3.81544261
232	3.814456385
233	3.814076052
234	3.813090042
235	3.811970708
236	3.811102214
237	3.810177274
238	3.808776195
239	3.807777585
240	3.80649063
241	3.805045104
242	3.804078986
243	3.802377196
244	3.801313127
245	3.800040187
246	3.798868151
247	3.798483774
248	3.796601657
249	3.794518904
250	3.793190436
251	3.791959475
252	3.790397504
253	3.790069855
254	3.788897357
255	3.788147432
256	3.787076483
257	3.785252607
258	3.784404584
259	3.783359914
260	3.782282397
261	3.781190858
262	3.779411187
263	3.778448842
264	3.777055522
265	3.775932521
266	3.775048819
267	3.77388447
268	3.772441907
269	3.771872793
270	3.770674765
271	3.769544494
272	3.768655361
273	3.767393069
274	3.766046417
275	3.764959804
276	3.763736913
277	3.762526906
278	3.762122895
279	3.760821437
280	3.76048732
281	3.760140827
282	3.758434497
283	3.756838421
284	3.755314469
285	3.754591907
286	3.753451313
287	3.752676155
288	3.751724001
289	3.750570103
290	3.749618669
291	3.748918009
292	3.74765409
293	3.746546856
294	3.745780069
295	3.744555219
296	3.744042888
297	3.742859535
298	3.742233224
299	3.741873106
300	3.740956659
301	3.739704621
302	3.739044482
303	3.737342087
304	3.736586408
305	3.735177321
306	3.734389925
307	3.734022657
308	3.733135152
309	3.73203508
310	3.731311539
311	3.730383262
312	3.729655677
313	3.728519127
314	3.727394166
315	3.726319872
316	3.725780902
317	3.724199867
318	3.722854327
319	3.722539124
320	3.721924678
321	3.721144383
322	3.720274407
323	3.718899946
324	3.718238802
325	3.717938806
326	3.717090399
327	3.716036368
328	3.715299481
329	3.714050835
330	3.713499848
331	3.712447777
332	3.711422842
333	3.710828789
334	3.710369833
335	3.709516228
336	3.7084085
337	3.70748867
338	3.706293099
339	3.705960986
340	3.704693875
341	3.704005267
342	3.703080789
343	3.702291811
344	3.701697684
345	3.700544902
346	3.699916362
347	3.698741257
348	3.697536206
349	3.696585113
350	3.695334258
351	3.694377379
352	3.693775259
353	3.693148349
354	3.692270971
355	3.691294123
356	3.691008654
357	3.689866089
358	3.688975995
359	3.688196196
360	3.68745932
361	3.686998234
362	3.686111712
363	3.685421248
364	3.684629505
365	3.683950419
366	3.682877189
367	3.682862054
368	3.68092681
369	3.679300247
370	3.67830954
371	3.677185792
372	3.676078241
373	3.674853763
374	3.673497264
375	3.672336571
376	3.671137184
377	3.670487304
378	3.669370128
379	3.668400817
380	3.667883196
381	3.667209764
382	3.666979628
383	3.66586968
384	3.665093345
385	3.664324579
386	3.663921317
387	3.662409655
388	3.662004503
389	3.660717985
390	3.659250222
391	3.658491893
392	3.657630307
393	3.656621139
394	3.65570164
395	3.655067716
396	3.654324272
397	3.653811271
398	3.653438961
399	3.652499982
400	3.651794009
401	3.650932262
402	3.649798527
403	3.648845567
404	3.648514972
405	3.647223788
406	3.64671991
407	3.645628867
408	3.645055334
409	3.643709917
410	3.642890253
411	3.64182091
412	3.640838265
413	3.639161593
414	3.638136701
415	3.636642991
416	3.636199177
417	3.636002486
418	3.635357082
419	3.634384708
420	3.633477112
421	3.632517383
422	3.631977537
423	3.631507966
424	3.631103961
425	3.630132577
426	3.628715199
427	3.627874599
428	3.627018546
429	3.62568695
430	3.624992514
431	3.623676401
432	3.622654415
433	3.6223141
434	3.621013659
435	3.620394327
436	3.619615348
437	3.618213969
438	3.617835221
439	3.616848915
440	3.616038822
441	3.614857835
442	3.613699724
443	3.6129432
444	3.611780448
445	3.611211609
446	3.610155818
447	3.609180634
448	3.60880046
449	3.607768762
450	3.606463009
451	3.605527026
452	3.604971183
453	3.602992674
454	3.60221902
455	3.601299219
456	3.600283657
457	3.599234807
458	3.598653973
459	3.598043366
460	3.597290959
461	3.596490958
462	3.595166503
463	3.594401993
464	3.593684739
465	3.593167124
466	3.592624563
467	3.592084556
468	3.590677702
469	3.589692684
470	3.588882944
471	3.58841022
472	3.587774148
473	3.587048757
474	3.585961023
475	3.584976827
476	3.584437636
477	3.583251667
478	3.582184997
479	3.581599663
480	3.580674103
481	3.579131962
482	3.578744328
483	3.577793485
484	3.577570051
485	3.576821802
486	3.575816072
487	3.575542088
488	3.574136102
489	3.573812581
490	3.572845222
491	3.571413485
492	3.570745641
493	3.569764385
494	3.569246874
495	3.568533896
496	3.56778078
497	3.566735728
498	3.565186794
499	3.56477683
500	3.564051905
501	3.563163073
502	3.562187776
503	3.560875854
504	3.560570678
505	3.560036597
506	3.559689923
507	3.559078348
508	3.557905146
509	3.557284457
510	3.55668863
511	3.555947588
512	3.554969001
513	3.55436356
514	3.553291327
515	3.552356063
516	3.55159726
517	3.550519836
518	3.54975491
519	3.548948397
520	3.548216941
521	3.548007823
522	3.546829189
523	3.546608813
524	3.545807875
525	3.544700679
526	3.543955366
527	3.542883065
528	3.542106091
529	3.541742478
530	3.541149242
531	3.540586472
532	3.539750455
533	3.538764158
534	3.537803428
535	3.536948462
536	3.535851489
537	3.535102724
538	3.534402124
539	3.533393005
540	3.532351954
541	3.531778051
542	3.530826393
543	3.529656804
544	3.529231236
545	3.527959933
546	3.52707347
547	3.525793545
548	3.525248005
549	3.524326918
550	3.523431329
551	3.522909706
552	3.522227543
553	3.521598304
554	3.520671774
555	3.520314858
556	3.519734891
557	3.518886599
558	3.517678053
559	3.517215825
560	3.516061722
561	3.515322505
562	3.514726596
563	3.513853427
564	3.513315264
565	3.512034728
566	3.511126414
567	3.510267628
568	3.5093115
569	3.508679078
570	3.507489065
571	3.506789439
572	3.506058335
573	3.505360611
574	3.504615937
575	3.50388205
576	3.503197252
577	3.503028921
578	3.50160828
579	3.500595201
580	3.499764574
581	3.498567738
582	3.498191757
583	3.497023031
584	3.495622125
585	3.49488216
586	3.494140819
587	3.493608759
588	3.49254919
589	3.491558372
590	3.490778123
591	3.490417237
592	3.489391674
593	3.489235017
594	3.489054127
595	3.488227506
596	3.486978268
597	3.485886312
598	3.485543321
599	3.484731988
600	3.484049479
601	3.483350064
602	3.482554425
603	3.481325038
604	3.480033827
605	3.479363555
606	3.478545483
607	3.47751277
608	3.476651312
609	3.476001544
610	3.475269997
611	3.474682044
612	3.473678249
613	3.473259133
614	3.472684418
615	3.472460643
616	3.470875508
617	3.470466182
618	3.469241613
619	3.468949326
620	3.467697004
621	3.467266795
622	3.466444065
623	3.465942275
624	3.46526599
625	3.464338472
626	3.463768901
627	3.462679992
