iter	Passed	Remaining
0	168	167888
1	175	87452
2	182	60644
3	188	46848
4	194	38684
5	201	33401
6	208	29539
7	214	26599
8	220	24329
9	227	22521
10	233	20980
11	239	19711
12	245	18609
13	251	17683
14	256	16873
15	263	16179
16	268	15547
17	274	14989
18	280	14495
19	286	14019
20	292	13627
21	298	13276
22	305	12961
23	311	12651
24	317	12367
25	323	12116
26	329	11874
27	335	11657
28	341	11441
29	347	11251
30	354	11078
31	360	10901
32	366	10748
33	372	10589
34	378	10449
35	385	10324
36	391	10193
37	398	10078
38	404	9972
39	411	9864
40	417	9758
41	423	9658
42	429	9563
43	435	9469
44	442	9388
45	448	9292
46	454	9211
47	460	9131
48	466	9053
49	472	8978
50	478	8905
51	484	8833
52	490	8768
53	496	8702
54	502	8637
55	508	8577
56	515	8520
57	521	8465
58	527	8408
59	532	8347
60	538	8294
61	544	8244
62	551	8197
63	557	8149
64	563	8108
65	569	8056
66	574	8004
67	580	7953
68	586	7919
69	592	7872
70	598	7834
71	605	7799
72	611	7759
73	617	7728
74	623	7689
75	629	7656
76	635	7619
77	641	7579
78	647	7546
79	653	7515
80	659	7479
81	665	7447
82	671	7413
83	677	7386
84	680	7324
85	686	7291
86	692	7266
87	697	7229
88	703	7202
89	710	7179
90	716	7155
91	722	7127
92	728	7102
93	734	7075
94	740	7049
95	745	7021
96	751	6996
97	758	6978
98	764	6956
99	770	6937
100	776	6915
101	782	6892
102	788	6865
103	794	6842
104	800	6819
105	806	6797
106	812	6777
107	818	6758
108	824	6739
109	830	6718
110	836	6697
111	842	6679
112	848	6659
113	854	6641
114	860	6621
115	866	6605
116	873	6589
117	878	6569
118	884	6551
119	891	6534
120	897	6520
121	904	6510
122	911	6496
123	918	6486
124	924	6472
125	931	6459
126	937	6447
127	944	6432
128	951	6424
129	957	6409
130	963	6394
131	969	6378
132	976	6364
133	983	6353
134	989	6339
135	995	6326
136	1001	6311
137	1008	6301
138	1015	6292
139	1022	6279
140	1027	6260
141	1033	6242
142	1039	6231
143	1045	6212
144	1050	6196
145	1057	6184
146	1063	6172
147	1069	6159
148	1074	6138
149	1080	6121
150	1086	6106
151	1091	6089
152	1096	6070
153	1102	6057
154	1108	6045
155	1114	6031
156	1120	6018
157	1127	6008
158	1133	5994
159	1139	5981
160	1145	5968
161	1151	5954
162	1156	5941
163	1162	5928
164	1169	5916
165	1175	5904
166	1181	5892
167	1187	5881
168	1193	5868
169	1199	5857
170	1205	5845
171	1211	5832
172	1217	5821
173	1223	5809
174	1230	5798
175	1236	5788
176	1241	5774
177	1248	5764
178	1255	5757
179	1261	5747
180	1268	5738
181	1274	5728
182	1281	5719
183	1288	5713
184	1295	5706
185	1301	5695
186	1307	5684
187	1313	5672
188	1319	5661
189	1325	5649
190	1331	5637
191	1336	5625
192	1342	5615
193	1348	5601
194	1354	5592
195	1360	5579
196	1366	5570
197	1372	5561
198	1379	5553
199	1386	5544
200	1393	5539
201	1399	5529
202	1405	5518
203	1411	5509
204	1417	5497
205	1423	5487
206	1429	5477
207	1435	5466
208	1441	5456
209	1447	5445
210	1454	5437
211	1460	5428
