,fecha,coche_propio,carnet_coche,mascota,presupuesto_alquiler,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,sector_otros,predisposicion_pueblo_1 mes,predisposicion_pueblo_3 meses,predisposicion_pueblo_6 meses,predisposicion_pueblo_Aún me lo estoy pensando,year,month,day,pais_de_residencia_España,pais_de_residencia_Latino América,pais_de_residencia_Otro,pais_de_residencia_Resto de Europa (dentro de UE),prov_norte,prov_sur,prov_este,prov_centro,prov_madrid,prov_fuera_espana,situacion_en_espana_No estoy en ninguna de esas situaciones,situacion_en_espana_Tengo nacionalidad española / de un país de la UE / permiso de residencia,primera_segunda_vivienda_Primera residencia,primera_segunda_vivienda_Segunda residencia,zona_interes_Indiferente,"zona_interes_Indiferente, menos de 150km de Madrid",zona_interes_Navarra,zona_interes_Pueblos de Burgos,zona_interes_Pueblos de Cuenca,zona_interes_Pueblos de Galicia,zona_interes_Pueblos de Jaén,zona_interes_Pueblos de Palencia,zona_interes_Pueblos de Segovia,zona_interes_Pueblos de Soria,zona_interes_Pueblos de Zamora,zona_interes_Pueblos de Zaragoza,zona_interes_Pueblos de Zaragoza-Huesca,zona_interes_Sierra norte de Madrid,autonomia_economica_1 año,autonomia_economica_3 meses,autonomia_economica_6 meses,autonomia_economica_Más de 1 año
1,2020-10-26,1,1,0,1,2,0,0,0,0,0,0,1,0,0,2020,10,26,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,2020-10-26,1,1,1,2,2,1,0,0,0,0,0,0,0,1,2020,10,26,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,2020-11-08,1,1,1,2,3,0,0,0,0,0,0,1,0,0,2020,11,8,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4,2020-11-11,1,1,1,2,2,1,0,0,0,0,0,0,1,0,2020,11,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5,2020-11-16,1,1,1,1,2,1,0,0,0,0,0,0,0,1,2020,11,16,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,2020-11-17,0,1,0,2,3,1,0,0,0,0,0,0,1,0,2020,11,17,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7,2020-11-19,1,1,1,1,8,0,0,0,0,0,0,0,1,0,2020,11,19,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,2020-11-19,1,1,1,1,3,0,0,0,0,0,0,0,1,0,2020,11,19,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9,2020-11-20,1,1,1,1,2,1,0,0,0,0,0,0,1,0,2020,11,20,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,2020-11-20,1,1,0,2,4,0,0,0,0,0,0,1,0,0,2020,11,20,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,2020-11-20,1,1,1,2,1,1,0,0,0,0,0,0,0,1,2020,11,20,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,2020-11-21,1,1,1,2,2,1,0,0,0,0,0,0,1,0,2020,11,21,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13,2020-11-21,1,1,0,1,2,0,0,1,0,0,1,0,0,0,2020,11,21,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,2020-11-21,1,1,1,1,2,1,0,0,0,0,0,0,1,0,2020,11,21,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,2020-11-21,1,1,1,1,2,0,0,0,0,0,0,0,1,0,2020,11,21,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,2020-11-22,1,1,1,1,2,1,0,0,0,0,0,0,1,0,2020,11,22,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17,2020-11-23,1,1,1,3,2,1,0,0,0,0,0,0,1,0,2020,11,23,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18,2020-11-23,1,1,1,1,4,0,0,0,0,0,0,0,0,1,2020,11,23,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,2020-11-23,1,1,1,2,2,0,0,0,0,0,0,0,1,0,2020,11,23,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,2020-11-23,1,1,1,1,2,0,0,0,0,0,0,0,0,1,2020,11,23,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
