id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo
,2023-03-01,España,Cantabria,Santander,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,,30 - 24 - 2,No,Si,No,,,,
U-000002,2020-10-26,España,,Algeciras,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercio internacional,3 meses,"37,37",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,3 meses
U-000003,2020-10-26,España,,Colmenar Viejo (Madrid),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dependiente,,"57, 56",Si,Si,Si,Hasta 450€,Segunda residencia,Sierra norte de Madrid,Aún me lo estoy pensando
U-000006,2020-11-08,España,,San Fernando de Henares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,,"38, 38 y 8",Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
U-000007,2020-11-11,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Fotógrafo,6 meses,41 y 31 años,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000008,2020-11-16,España,,Meliana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor educación especial,,63 - 60,Si,Si,Si,Hasta 300€,Segunda residencia,Indiferente,Aún me lo estoy pensando
U-000009,2020-11-17,Otro,,La Habana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico de empresas y actividades turísticas,1 año,"48, 35, 4",No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000011,2020-11-19,España,,Alcala De Henares,No estoy en ninguna de esas situaciones,Otro,Más de 1 año,"50,48,28,28,25,20,17,0 meses",Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000014,2020-11-19,España,Madrid,Alcorcón,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,,46/45/8,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000016,2020-11-20,España,,Palma De Mallorca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,1 año,30- 3 años ( madre e hija),Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000017,2020-11-20,Latino América,,Armstrong,No estoy en ninguna de esas situaciones,Administrativo,6 meses,45-42-3-3,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses
U-000018,2020-11-20,España,,Torrelodones,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empresario,3 meses,48,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Zaragoza,Aún me lo estoy pensando
U-000020,2020-11-21,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Gestor cultural,6 meses,46 3,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000021,2020-11-21,Otro,,Moscù,No estoy en ninguna de esas situaciones,Albañil,1 año,46 años y 13 años,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes
U-000022,2020-11-21,España,,Tudela,No estoy en ninguna de esas situaciones,Camarero,3 meses,26/26,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000023,2020-11-21,España,,Valencia,No estoy en ninguna de esas situaciones,Mozo almacén,Más de 1 año,69 42,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses
U-000024,2020-11-22,España,,Sanxenxo,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,,17 y 18 años,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
U-000026,2020-11-23,España,,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Diseñador grafico,1 año,Mi pareja 38 y yo 39,Si,Si,Si,Hasta 600€,Primera residencia,Pueblos de Zaragoza,6 meses
U-000027,2020-11-23,España,,YUNCOS,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,,"42 ,40, 7, 4",Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-000028,2020-11-23,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,6 meses,"32, 29",Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses
U-000029,2020-11-23,España,,Guadalajara,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,Más de 1 año,20 años y 4 meses,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando
U-000030,2020-11-23,España,,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,Más de 1 año,ninguna,Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses
