,id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo
0,,2023-03-01,España,Cantabria,Santander,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,,30 - 24 - 2,No,Si,No,,,Indiferente,
1,U-000002,2020-10-26,"('España', 'Andalucía')","('España', 'Andalucía')",Algeciras,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercio internacional,3 meses,"37,37",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,3 meses
2,U-000003,2020-10-26,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Colmenar Viejo (Madrid),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dependiente,,"57, 56",Si,Si,Si,Hasta 450€,Segunda residencia,Sierra norte de Madrid,Aún me lo estoy pensando
3,U-000006,2020-11-08,"('España', '28830')","('España', '28830')",San Fernando de Henares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,,"38, 38 y 8",Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
4,U-000007,2020-11-11,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Fotógrafo,6 meses,41 y 31 años,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
5,U-000008,2020-11-16,"('España', '46133')","('España', '46133')",Meliana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor educación especial,,63 - 60,Si,Si,Si,Hasta 300€,Segunda residencia,Indiferente,Aún me lo estoy pensando
6,U-000009,2020-11-17,"('Cuba', 'NINGUNA')","('Cuba', 'NINGUNA')",La Habana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico de empresas y actividades turísticas,1 año,"48, 35, 4",No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
7,U-000011,2020-11-19,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Alcala De Henares,No estoy en ninguna de esas situaciones,Otro,Más de 1 año,"50,48,28,28,25,20,17,0 meses",Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
8,U-000014,2020-11-19,España,Madrid,Alcorcón,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,,46/45/8,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
9,U-000016,2020-11-20,"('España', 'Illes Balears')","('España', 'Illes Balears')",Palma De Mallorca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,1 año,30- 3 años ( madre e hija),Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
10,U-000017,2020-11-20,"('United States', 'NINGUNA')","('United States', 'NINGUNA')",Armstrong,No estoy en ninguna de esas situaciones,Administrativo,6 meses,45-42-3-3,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses
11,U-000018,2020-11-20,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Torrelodones,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empresario,3 meses,48,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Zaragoza,Aún me lo estoy pensando
12,U-000020,2020-11-21,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Gestor cultural,6 meses,46 3,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
13,U-000021,2020-11-21,"('Россия', 'NINGUNA')","('Россия', 'NINGUNA')",Moscù,No estoy en ninguna de esas situaciones,Albañil,1 año,46 años y 13 años,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes
14,U-000022,2020-11-21,"('España', '31500')","('España', '31500')",Tudela,No estoy en ninguna de esas situaciones,Camarero,3 meses,26/26,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
15,U-000023,2020-11-21,"('España', 'Comunitat Valenciana')","('España', 'Comunitat Valenciana')",Valencia,No estoy en ninguna de esas situaciones,Mozo almacén,Más de 1 año,69 42,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses
16,U-000024,2020-11-22,"('España', '36960')","('España', '36960')",Sanxenxo,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,,17 y 18 años,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
17,U-000026,2020-11-23,"('España', '08001')","('España', '08001')",Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Diseñador grafico,1 año,Mi pareja 38 y yo 39,Si,Si,Si,Hasta 600€,Primera residencia,Pueblos de Zaragoza,6 meses
18,U-000027,2020-11-23,"('España', '45210')","('España', '45210')",YUNCOS,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,,"42 ,40, 7, 4",Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
19,U-000028,2020-11-23,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,6 meses,"32, 29",Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses
20,U-000029,2020-11-23,"('México', 'NINGUNA')","('México', 'NINGUNA')",Guadalajara,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,Más de 1 año,20 años y 4 meses,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando
21,U-000030,2020-11-23,"('España', '08001')","('España', '08001')",Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,Más de 1 año,ninguna,Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses
22,U-000032,2020-11-24,"('España', 'Comunitat Valenciana')","('España', 'Comunitat Valenciana')",Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Graduado social,,"41, 25",No,No,No,Hasta 450€,Primera residencia,Indiferente,6 meses
23,U-000036,2020-11-25,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Abogado,,"63,43,40,29,15,12",Si,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses
24,U-000040,2020-11-26,"('España', '03830')","('España', '03830')",Muro de Alcoi,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,3 meses,47,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses
25,U-000041,2020-11-26,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,,30-36,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
26,U-000044,2020-11-27,"('España', 'Canarias')","('España', 'Canarias')",Tacoronte,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Pensionista,,"36,15 y 4 años",No,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
27,U-000045,2020-11-27,"('España', 'Andalucía')","('España', 'Andalucía')",Granada,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Hostelero,3 meses,48 y 32,No,No,Si,Hasta 450€,Primera residencia,Indiferente,1 mes
28,U-000047,2020-11-27,"('España', '08500')","('España', '08500')","Vic, Barcelona",Tengo nacionalidad española / de un país de la UE / permiso de residencia,Artes visuales,3 meses,Yo tengo 55 años y no tengo hijos,No,No,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
29,U-000048,2020-11-28,"('España', 'Aragón')","('España', 'Aragón')",Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mozo almacén,Más de 1 año,40,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
30,U-000049,2020-11-28,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,39,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses
31,U-000050,2020-11-28,"('España', '08330')","('España', '08330')",Premia de mar,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ganadero,6 meses,39 y 35,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,1 mes
32,U-000051,2020-11-28,"('Argentina', 'NINGUNA')","('Argentina', 'NINGUNA')",Cordoba Capital,No estoy en ninguna de esas situaciones,Freelance digital,3 meses,24,No,No,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
33,U-000052,2020-11-28,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Coslada,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Funcionario,,57 y 56,Si,Si,No,Hasta 450€,Segunda residencia,Indiferente,6 meses
34,U-000053,2020-11-28,"('España', 'Extremadura')","('España', 'Extremadura')",Arroyomolinos,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro de Educación Primaria,,0,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
35,U-000054,2020-11-29,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Fuenlabrada,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,6 meses,25,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
36,U-000055,2020-11-29,"('España', 'Euskadi')","('España', 'Euskadi')",Barakaldo (Bizkaia),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro de Educación Primaria,3 meses,31,Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Burgos,6 meses
37,U-000056,2020-11-29,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Madrid,No estoy en ninguna de esas situaciones,Ingeniero,6 meses,34 años y - 4 meses de edad,Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes
38,U-000057,2020-11-29,"('España', '28970')","('España', '28970')",HUMANES DE MADRID,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,Más de 1 año,"71, 41, 40, 13, 10 Y 6 AÑOS",Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,3 meses
39,U-000058,2020-11-29,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Gestor cultural,6 meses,40 y 35,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes
40,U-000059,2020-11-30,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Madrid Alcobendas,No estoy en ninguna de esas situaciones,Electricista,1 año,"32,31,10,6y1año",Si,No,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,1 mes
41,U-000060,2020-11-30,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Torrejon de ardoz!,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,24 - 18,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
42,U-000061,2020-11-30,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Madrid,No estoy en ninguna de esas situaciones,Esteticista,,38 31 Y 7,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes
43,U-000062,2020-11-30,"('España', 'Comunidad de Madrid')","('España', 'Comunidad de Madrid')",Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,"35,28,7,2",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
