,id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,Otros,nan_filas
0,U-000002,2023-03-01,España,Cantabria,Santander,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,,"30,24,2",No,Si,No,,,Indiferente,Aún me lo estoy pensando,3,0,0,0,0,0,3
1,U-000002,2020-10-26,España,Andalucía,Algeciras,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercio internacional,3 meses,"37,37",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,3 meses,2,0,0,0,0,0,0
2,U-000003,2020-10-26,España,Madrid,Colmenar Viejo (Madrid),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dependiente,,"57,56",Si,Si,Si,Hasta 450€,Segunda residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,1,0,0,0,0,1
3,U-000006,2020-11-08,España,Madrid,San Fernando de Henares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,,"38,38,8",Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses,3,0,0,0,0,0,1
4,U-000007,2020-11-11,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Fotógrafo,6 meses,"41,31",Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,2,1,0,0,0,0,0
5,U-000008,2020-11-16,España,Valencia,Meliana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor educación especial,,"63,60",Si,Si,Si,Hasta 300€,Segunda residencia,Indiferente,Aún me lo estoy pensando,2,1,0,0,0,0,1
6,U-000009,2020-11-17,Latino América,Ninguna,La Habana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico de empresas y actividades turísticas,1 año,"48,35,4",No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,3,1,0,0,0,0,0
7,U-000011,2020-11-19,España,Madrid,Alcala De Henares,No estoy en ninguna de esas situaciones,Otro,Más de 1 año,"50,48,28,28,25,20,17,0",Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,8,0,0,0,0,0,0
8,U-000014,2020-11-19,España,Madrid,Alcorcón,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,,"46,45,8",Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,3,0,0,0,0,0,1
9,U-000016,2020-11-20,España,Baleares,Palma De Mallorca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,1 año,"30,3",Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0
10,U-000017,2020-11-20,Otro,Ninguna,Armstrong,No estoy en ninguna de esas situaciones,Administrativo,6 meses,"45,42,3,3",Si,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses,4,0,0,0,0,0,0
11,U-000018,2020-11-20,España,Madrid,Torrelodones,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empresario,3 meses,48,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Zaragoza,Aún me lo estoy pensando,1,1,0,0,0,0,0
12,U-000020,2020-11-21,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Gestor cultural,6 meses,"46,3",Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,2,1,0,0,0,0,0
