,id,fecha,pais_de_residencia,provincia_de_espana,situacion_en_espana,profesion,autonomia_economica,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,sector_otros,prov_norte,prov_sur,prov_este,prov_centro,prov_madrid,prov_fuera_espana
1,U-000002,2020-10-26,España,Andalucía,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercio internacional,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,3 meses,2,0,0,0,0,0,0,1,0,0,0,0
2,U-000003,2020-10-26,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dependiente,3 meses,Si,Si,Si,Hasta 450€,Segunda residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,1,0,0,0,0,0,0,0,0,1,0
3,U-000006,2020-11-08,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses,3,0,0,0,0,0,0,0,0,0,1,0
4,U-000007,2020-11-11,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Fotógrafo,6 meses,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,2,1,0,0,0,0,0,0,0,0,1,0
5,U-000008,2020-11-16,España,Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor educación especial,3 meses,Si,Si,Si,Hasta 300€,Segunda residencia,Indiferente,Aún me lo estoy pensando,2,1,0,0,0,0,0,0,1,0,0,0
6,U-000009,2020-11-17,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico de empresas y actividades turísticas,1 año,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,3,1,0,0,0,0,0,0,0,0,0,1
7,U-000011,2020-11-19,España,Madrid,No estoy en ninguna de esas situaciones,Otro,Más de 1 año,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,8,0,0,0,0,0,0,0,0,0,1,0
8,U-000014,2020-11-19,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,3,0,0,0,0,0,0,0,0,0,1,0
9,U-000016,2020-11-20,España,Baleares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,1 año,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,1,0,0,0
10,U-000017,2020-11-20,Otro,Ninguna,No estoy en ninguna de esas situaciones,Administrativo,6 meses,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses,4,0,0,0,0,0,0,0,0,0,0,1
