,autonomia_economica,coche_propio,carnet_coche,mascota,presupuesto_alquiler,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,sector_otros,predisposicion_pueblo_1 mes,predisposicion_pueblo_3 meses,predisposicion_pueblo_6 meses,predisposicion_pueblo_Aún me lo estoy pensando,year,month,day,pais_de_residencia_España,pais_de_residencia_Latino América,pais_de_residencia_Otro,pais_de_residencia_Resto de Europa (dentro de UE),prov_norte,prov_sur,prov_este,prov_centro,prov_madrid,prov_fuera_espana,situacion_en_espana_No estoy en ninguna de esas situaciones,situacion_en_espana_Tengo nacionalidad española / de un país de la UE / permiso de residencia,primera_segunda_vivienda_Primera residencia,primera_segunda_vivienda_Segunda residencia,zona_interes_Indiferente,"zona_interes_Indiferente, menos de 150km de Madrid",zona_interes_Navarra,zona_interes_Pueblos de Burgos,zona_interes_Pueblos de Cuenca,zona_interes_Pueblos de Galicia,zona_interes_Pueblos de Jaén,zona_interes_Pueblos de Palencia,zona_interes_Pueblos de Segovia,zona_interes_Pueblos de Soria,zona_interes_Pueblos de Zamora,zona_interes_Pueblos de Zaragoza,zona_interes_Pueblos de Zaragoza-Huesca,zona_interes_Sierra norte de Madrid
1,,1,1,1,2,2,1,0,0,0,0,0,0,0,1,2020,10,26,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,,1,1,1,2,3,0,0,0,0,0,0,1,0,0,2020,11,8,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,,1,1,1,1,2,1,0,0,0,0,0,0,0,1,2020,11,16,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,1,1,1,1,3,0,0,0,0,0,0,0,1,0,2020,11,19,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,,1,1,1,1,2,1,0,0,0,0,0,0,1,0,2020,11,22,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,,1,1,1,1,4,0,0,0,0,0,0,0,0,1,2020,11,23,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,,0,0,0,2,2,1,0,0,0,0,0,0,1,0,2020,11,24,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,1,1,0,2,6,1,0,0,0,0,0,0,1,0,2020,11,25,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,1,1,1,2,2,0,0,0,0,0,0,1,0,0,2020,11,26,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,,0,1,1,1,3,0,0,0,0,1,0,0,1,0,2020,11,27,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,,1,1,0,2,2,0,0,0,0,1,0,0,1,0,2020,11,28,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,,1,1,0,1,1,1,0,0,0,0,0,0,0,1,2020,11,28,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,0,0,0,2,3,1,0,0,0,0,1,0,0,0,2020,11,30,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,,0,1,0,2,3,0,0,0,0,0,0,0,1,0,2020,11,30,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,,0,1,0,2,3,1,0,0,0,0,0,0,1,0,2020,11,30,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,,1,1,0,1,1,1,0,0,0,0,0,0,1,0,2020,12,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,1,1,1,3,2,0,0,0,0,0,0,1,0,0,2020,12,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,1,1,0,1,1,0,1,0,0,0,0,0,1,0,2020,12,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,,0,1,0,2,6,0,0,0,0,0,1,0,0,0,2020,12,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,,1,1,0,1,3,0,1,0,0,0,0,0,1,0,2020,12,4,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,,1,1,0,3,2,0,0,0,0,0,0,0,0,1,2020,12,4,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,,0,0,0,2,5,0,0,1,0,0,0,0,1,0,2020,12,7,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,,1,1,0,1,3,0,1,0,0,0,0,0,1,0,2020,12,8,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,,1,1,0,3,1,1,0,0,0,0,0,0,0,1,2020,12,9,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,,1,1,0,1,2,0,0,0,0,0,0,0,0,1,2020,12,11,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2020,12,15,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,,0,1,0,1,2,0,0,0,0,0,0,0,1,0,2020,12,15,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,,1,1,1,2,1,0,0,1,0,0,0,0,1,0,2020,12,16,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,,1,1,1,3,3,1,0,0,0,0,0,1,0,0,2020,12,17,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,,1,1,0,1,1,0,0,0,0,1,0,0,1,0,2020,12,17,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,,1,1,0,2,2,1,0,0,0,0,0,0,1,0,2020,12,22,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,,0,1,0,1,5,1,0,0,0,0,1,0,0,0,2020,12,23,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
108,,1,1,1,1,4,1,0,0,0,0,0,1,0,0,2020,12,26,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,,0,0,0,1,4,0,0,0,0,0,0,1,0,0,2020,12,26,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,,0,1,0,3,6,1,0,0,0,0,0,0,0,1,2020,12,26,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,,1,1,0,2,3,1,0,0,0,0,0,0,0,1,2020,12,27,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2020,12,28,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,,1,1,0,1,2,0,0,0,0,0,0,0,1,0,2020,12,28,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,,0,0,1,1,1,1,0,0,0,0,0,0,1,0,2020,12,28,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,,1,1,0,1,1,1,0,0,0,0,0,0,1,0,2020,12,28,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,,1,1,0,4,2,0,1,0,0,0,0,0,1,0,2020,12,29,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,,1,1,0,4,2,0,0,0,0,1,0,0,1,0,2020,12,31,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,,1,1,1,2,4,0,0,0,0,1,0,0,1,0,2021,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,,1,1,0,2,3,0,0,0,0,0,0,0,1,0,2021,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,,0,1,0,1,1,1,0,0,0,0,0,0,1,0,2021,1,3,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
